trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.284423582954332,None,space,0.32786949910223484,11.284423582954332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
,,,,,,,,,,,,,,11.631693332921714,None,space,0.3089346659835428,11.631693332921714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
,,,,,,,,,,,,,,,,,,,,11.967374499887228,None,space,0.23502483288757503,11.967374499887228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.273153082933277,None,space,0.21205395786091685,12.273153082933277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,14.177192790899426,12.576165582984686,None,12.576165582984686,None,12.576165582984686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5854443330317736,26.844798041973263,None,26.844798041973263,None,26.844798041973263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24666666666666667,0.0838095238095238,1,0,0,0.4582680829335004,A,0.009605117375031114,None,27.505435375031084,None,1,[0.4570701669435948],[0.4570731669664383],27.505435375031084,None,0,,,27.505435375031084,None,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,8.576354874996468,28.000832666875795,None,28.000832666875795,None,28.000832666875795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6610050410963595,36.66224708291702,None,36.66224708291702,None,36.66224708291702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29428571428571426,-0.06095238095238095,1,0,0,1.9544005000498146,B,0.0037599089555442333,None,38.40573295787908,None,1,[0.4570701669435948],[0.4570731669664383],38.40573295787908,None,1,[1.9533097499515861],[1.953312624944374],38.40573295787908,None,,,,,,,cxcx,001,False,2022_Apr_17_1359,EyeTrackingStudy,2021.2.3,60.03163678768951,
