trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.97634237492457,None,space,4.885800123913214,8.97634237492457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
,,,,,,,,,,,,,,13.884331374894828,None,space,22.329300082987174,13.884331374894828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
,,,,,,,,,,,,,,,,,,,,36.24223162489943,None,space,19.236789790913463,36.24223162489943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
,,,,,,,,,,,,,,,,,,,,,,,,,,55.5017773329746,None,space,1.5312898738775402,55.5017773329746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,26.570996708003804,57.13019225001335,None,57.13019225001335,None,57.13019225001335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,10.219831957947463,83.79231662489474,None,83.79231662489474,None,83.79231662489474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13523809523809524,0.06761904761904762,1,0,0,3.418540625134483,A,0.002560957567766309,None,94.1010719158221,None,1,[3.417173624970019],[3.417176666902378],94.1010719158221,None,0,,,94.1010719158221,None,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,50.665718998992816,97.559431332862,None,97.559431332862,None,97.559431332862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,15.283558206865564,148.3233532498125,None,148.3233532498125,None,148.3233532498125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09047619047619047,-0.13333333333333333,1,0,0,3.04656874993816,B,0.013249124865978956,None,163.70489645795897,None,1,[3.417173624970019],[3.417176666902378],163.70489645795897,None,1,[3.045387415913865],[3.0453906659968197],163.70489645795897,None,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,35.738532206974924,166.79080095794052,None,166.79080095794052,None,166.79080095794052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,18.78659720811993,202.62247487483546,None,202.62247487483546,None,202.62247487483546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23523809523809525,-0.1380952380952381,1,0,0,4.193838832899928,B,0.011449832003563643,None,221.52304004086182,None,1,[3.417173624970019],[3.417176666902378],221.52304004086182,None,2,"[3.045387415913865, 4.192688000155613]","[3.0453906659968197, 4.1926910830661654]",221.52304004086182,None,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,54.590128040872514,225.759070165921,None,225.759070165921,None,225.759070165921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,16.902177249081433,280.4399849579204,None,280.4399849579204,None,280.4399849579204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2695238095238095,-0.10952380952380952,1,0,0,0.8026507089380175,B,0.0027178749442100525,None,297.4495343749877,None,1,[3.417173624970019],[3.417176666902378],297.4495343749877,None,3,"[3.045387415913865, 4.192688000155613, 0.8014370000455528]","[3.0453906659968197, 4.1926910830661654, 0.8014400841202587]",297.4495343749877,None,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,40.55986624909565,298.290504375007,None,298.290504375007,None,298.290504375007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,25.119518124032766,338.9406147080008,None,338.9406147080008,None,338.9406147080008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2695238095238095,-0.10952380952380952,1,0,0,1.237239208072424,B,0.0038185412995517254,None,364.150544332806,None,1,[3.417173624970019],[3.417176666902378],364.150544332806,None,4,"[3.045387415913865, 4.192688000155613, 0.8014370000455528, 1.2360013329889625]","[3.0453906659968197, 4.1926910830661654, 0.8014400841202587, 1.2360041248612106]",364.150544332806,None,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,35.165815958054736,365.4267899999395,None,365.4267899999395,None,365.4267899999395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,5.05807429086417,400.686544082826,None,400.686544082826,None,400.686544082826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26666666666666666,0.10761904761904761,1,0,0,2.0482102918904275,A,0.014066167175769806,None,405.8262282907963,None,2,"[3.417173624970019, 2.0468748330604285]","[3.417176666902378, 2.0468778328504413]",405.8262282907963,None,4,"[3.045387415913865, 4.192688000155613, 0.8014370000455528, 1.2360013329889625]","[3.0453906659968197, 4.1926910830661654, 0.8014400841202587, 1.2360041248612106]",405.8262282907963,None,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,20.691220831824467,407.90998887480237,None,407.90998887480237,None,407.90998887480237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,14.014378248946741,428.69128912501037,None,428.69128912501037,None,428.69128912501037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25142857142857145,0.07333333333333333,1,0,0,4.738497042097151,A,0.003728999989107251,None,442.7851807908155,None,3,"[3.417173624970019, 2.0468748330604285, 4.737323916982859]","[3.417176666902378, 2.0468778328504413, 4.737326791975647]",442.7851807908155,None,4,"[3.045387415913865, 4.192688000155613, 0.8014370000455528, 1.2360013329889625]","[3.0453906659968197, 4.1926910830661654, 0.8014400841202587, 1.2360041248612106]",442.7851807908155,None,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,31.954172624042258,447.56552312499844,None,447.56552312499844,None,447.56552312499844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
7,0,7,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,4.967409166041762,479.60980491596274,None,479.60980491596274,None,479.60980491596274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,001,False,2022_Apr_15_1653,EyeTrackingStudy,2021.2.3,60.34748077052576,
