trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.521113916998729,None,space,0.5722412911709398,10.521113916998729,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
,,,,,,,,,,,,,,11.12671716697514,None,space,0.7486938738729805,11.12671716697514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
,,,,,,,,,,,,,,,,,,,,11.895896582864225,None,space,0.28157858294434845,11.895896582864225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.209539082832634,None,space,0.3039503740146756,12.209539082832634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,12.306010916130617,12.614627999952063,None,12.614627999952063,None,12.614627999952063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3012093750294298,25.003361166920513,None,25.003361166920513,None,25.003361166920513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,0.03333333333333333,1,0,0,0.6098042500670999,A,0.008350675227120519,None,26.381912832846865,None,1,[1.1066425000317395],[1.106645500054583],26.381912832846865,None,0,,,26.381912832846865,None,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5272744160611182,27.52816008287482,None,27.52816008287482,None,27.52816008287482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3777329989243299,28.133746249834076,None,28.133746249834076,None,28.133746249834076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1288888888888889,0.07,1,0,0,0.36831937497481704,A,0.0009267874993383884,None,28.586530542001128,None,2,"[1.1066425000317395, 0.36721016583032906]","[1.106645500054583, 0.3672132908832282]",28.586530542001128,None,0,,,28.586530542001128,None,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7434379158075899,28.990178582957014,None,28.990178582957014,None,28.990178582957014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20802649995312095,29.80860074982047,None,29.80860074982047,None,29.80860074982047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxdc,001,False,2022_Apr_17_1357,EyeTrackingStudy,2021.2.3,59.6983144737115,
