trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.098124416079372,None,space,0.44603929086588323,9.098124416079372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
,,,,,,,,,,,,,,9.562375291017815,None,space,0.5260654580779374,9.562375291017815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
,,,,,,,,,,,,,,,,,,,,10.115036957897246,None,space,0.428198249777779,10.115036957897246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
,,,,,,,,,,,,,,,,,,,,,,,,,,10.562218541046605,None,space,0.49313991609960794,10.562218541046605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,3.9695865409448743,11.148827249882743,None,11.148827249882743,None,11.148827249882743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3391646661330014,15.211112665943801,None,15.211112665943801,None,15.211112665943801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2542857142857143,0.08666666666666667,1,0,0,0.5411590421572328,A,0.007239817874506116,None,16.635834832908586,None,1,[0.5398471669759601],[0.5398501248564571],16.635834832908586,None,0,,,16.635834832908586,None,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6249034160282463,17.21524045802653,None,17.21524045802653,None,17.21524045802653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,9.328713999129832,17.92330712499097,None,17.92330712499097,None,17.92330712499097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24857142857142858,0.12380952380952381,1,0,0,1.1352502920199186,A,0.0008945257868617773,None,27.34011225006543,None,2,"[0.5398471669759601, 1.1340206249151379]","[0.5398501248564571, 1.1340239169076085]",27.34011225006543,None,0,,,27.34011225006543,None,,,,,,,xcy,001,False,2022_Apr_15_1651,EyeTrackingStudy,2021.2.3,59.61491751317394,
