trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.617033899994567,None,space,2.5087888999842107,18.617033899994567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
,,,,,,,,,,,,,,21.141978900006507,None,space,6.917866599978879,21.141978900006507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
,,,,,,,,,,,,,,,,,,,,28.075472500000615,None,space,1.3081749000120908,28.075472500000615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
,,,,,,,,,,,,,,,,,,,,,,,,,,29.4088933999883,None,space,0.24452439998276532,29.4088933999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,11.269288900017273,29.745791900000768,None,29.745791900000768,None,29.745791900000768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,6.147947399993427,41.10723829999915,None,41.10723829999915,None,41.10723829999915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3648148148148148,0.10185185185185185,1,0,0,2.728137099999003,A,0.009746480005560443,None,47.33422540000174,None,1,[2.7281895000196528],[2.7281942999979947],47.33422540000174,None,0,,,47.33422540000174,None,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,4.242583699990064,50.11669890000485,None,50.11669890000485,None,50.11669890000485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,2.679924600000959,54.44640230000368,None,54.44640230000368,None,54.44640230000368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06759259259259259,0.09537037037037037,1,0,0,4.356360100005986,A,0.005617779970634729,None,57.20931519998703,None,2,"[2.7281895000196528, 4.3563983000058215]","[2.7281942999979947, 4.356401700002607]",57.20931519998703,None,0,,,57.20931519998703,None,,,,,,,demo121,001,False,2022_May_11_1728,EyeTrackingStudy,2021.2.1,59.85217709270513,
