trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.941015999997035,None,space,8.163261699985014,19.941015999997035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,28.127115099981893,None,space,31.69720039999811,28.127115099981893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,59.8596243999782,None,space,4.996580300008645,59.8596243999782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,64.89336599997478,None,space,1.7869465999829117,64.89336599997478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.74068099999567,None,1,[1.3448229000205174],[1.3448265000188258],66.74068099999567,None,0,,,-0.09907407407407408,0.08796296296296297,1,0,0,C,0.012743066647090018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.74068099999567,None,68.06501669998397,None,space,3.159234999999171,68.06501669998397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.684375499986345,73.41981209997903,None,73.41981209997903,None,73.41981209997903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.9991292000049725,79.19306349998806,None,79.19306349998806,None,79.19306349998806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09907407407407408,0.08796296296296297,1,0,0,0.38660820000222884,A,0.016055700019933283,None,81.23830929998076,None,1,[0.3864162999961991],[0.38641969999298453],81.23830929998076,None,0,,,81.23830929998076,None,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5082097000267822,81.68401329999324,None,81.68401329999324,None,81.68401329999324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,rz,001,True,2022_May_27_1025,EyeTrackingStudy,2021.2.1,None,
