trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.457057799998438,None,space,4.689270400005626,16.457057799998438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,21.181892799999332,None,space,20.908471700007794,21.181892799999332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,42.120309100006125,None,space,9.513938100004452,42.120309100006125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,51.69371579999279,None,space,11.532553500001086,51.69371579999279,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.25768280000193,None,1,[4.8307045999972615],[4.830708200010122],63.25768280000193,None,0,,,0.2861111111111111,0.1111111111111111,1,0,0,C,0.014297366666141897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.25768280000193,None,68.06569040000613,None,space,14.904759099998046,68.06569040000613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,25.58525190000364,85.1290791999927,None,85.1290791999927,None,85.1290791999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.786960900004487,110.78338079999958,None,110.78338079999958,None,110.78338079999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28703703703703703,0.10555555555555556,1,0,0,2.657538100000238,A,0.00201773333537858,None,123.62607349999598,None,1,[2.6573514000047],[2.6573549000022467],123.62607349999598,None,0,,,123.62607349999598,None,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,35.55714479999733,126.33315859999857,None,126.33315859999857,None,126.33315859999857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,27.45633380000072,161.97001970000565,None,161.97001970000565,None,161.97001970000565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2537037037037037,-0.08055555555555556,1,0,0,3.660178599995561,B,0.0018092999962391332,None,189.51275150000583,None,1,[2.6573514000047],[2.6573549000022467],189.51275150000583,None,1,[3.660209499998018],[3.6602132999978494],189.51275150000583,None,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,17.45685329999833,193.21751190000214,None,193.21751190000214,None,193.21751190000214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,38.80712850000418,210.73944829999527,None,210.73944829999527,None,210.73944829999527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,-0.08055555555555556,1,0,0,4.453033300000243,B,0.006904666661284864,None,249.62670559999242,None,1,[2.6573514000047],[2.6573549000022467],249.62670559999242,None,2,"[3.660209499998018, 4.45281669999531]","[3.6602132999978494, 4.4528200999920955]",249.62670559999242,None,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,51.281603299998096,254.12889589999395,None,254.12889589999395,None,254.12889589999395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,31.303542900001048,305.49107649999496,None,305.49107649999496,None,305.49107649999496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2361111111111111,-0.09074074074074075,1,0,0,1.3712667999934638,B,0.007180566681199707,None,336.888787200005,None,1,[2.6573514000047],[2.6573549000022467],336.888787200005,None,3,"[3.660209499998018, 4.45281669999531, 1.3711485999956494]","[3.6602132999978494, 4.4528200999920955, 1.3711521000077482]",336.888787200005,None,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,29.864227300000493,338.30641200000537,None,338.30641200000537,None,338.30641200000537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,33.829691699997056,368.2449487999984,None,368.2449487999984,None,368.2449487999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23703703703703705,-0.10277777777777777,1,0,0,2.9242754000006244,B,0.00773539999499917,None,402.13459649999277,None,1,[2.6573514000047],[2.6573549000022467],402.13459649999277,None,4,"[3.660209499998018, 4.45281669999531, 1.3711485999956494, 2.924048299988499]","[3.6602132999978494, 4.4528200999920955, 1.3711521000077482, 2.924051799986046]",402.13459649999277,None,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,63.97659799999383,405.10607110000274,None,405.10607110000274,None,405.10607110000274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.081625199993141,469.16105169999355,None,469.16105169999355,None,469.16105169999355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21481481481481482,0.07407407407407407,1,0,0,5.075905600009719,A,0.012428600006387569,None,483.31170229999407,None,2,"[2.6573514000047, 5.075680299996748]","[2.6573549000022467, 5.075683900009608]",483.31170229999407,None,4,"[3.660209499998018, 4.45281669999531, 1.3711485999956494, 2.924048299988499]","[3.6602132999978494, 4.4528200999920955, 1.3711521000077482, 2.924051799986046]",483.31170229999407,None,,,,,,,user28,001,True,2022_Jul_08_1640,EyeTrackingStudy,2021.2.1,None,
