trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,22.810011300000042,None,space,1.3627842999999302,22.810011300000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,24.209484400000292,None,space,1.3232787000001736,24.209484400000292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,25.558859900000243,None,space,1.1099466999999095,25.558859900000243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,26.70007990000022,None,space,1.5687161999999262,26.70007990000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,20.04263869999977,30.39413650000006,None,30.39413650000006,None,30.39413650000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,13.248141499999747,50.54869890000009,None,50.54869890000009,None,50.54869890000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05648148148148148,0.09351851851851851,1,0,0,3.1116643000000295,A,0.0157430000003842,None,63.85417600000028,None,1,[3.1114694999996573],[3.1114730999997846],63.85417600000028,None,0,,,63.85417600000028,None,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,22.743355300000076,67.03740850000031,None,67.03740850000031,None,67.03740850000031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,5.833267399999841,89.97954930000014,None,89.97954930000014,None,89.97954930000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03425925925925926,0.09722222222222222,1,0,0,11.426571700000295,A,0.012201333333450748,None,96.01546439999993,None,2,"[3.1114694999996573, 11.42629719999968]","[3.1114730999997846, 11.426300799999808]",96.01546439999993,None,0,,,96.01546439999993,None,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,11.474283199999718,107.49048119999998,None,107.49048119999998,None,107.49048119999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,38.04754950000006,119.08519960000012,None,119.08519960000012,None,119.08519960000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0962962962962963,-0.12314814814814815,1,0,0,3.883272399999896,B,0.0006174666668812279,None,157.23005420000027,None,2,"[3.1114694999996573, 11.42629719999968]","[3.1114730999997846, 11.426300799999808]",157.23005420000027,None,1,[3.882887099999607],[3.882890299999872],157.23005420000027,None,,,,,,,user5,001,True,2022_May_05_1234,EyeTrackingStudy,2021.2.1,None,
