trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.570210600000053,None,space,0.8081052999999656,21.570210600000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,22.406684100000007,None,space,1.7636825999999814,22.406684100000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,24.208467400000018,None,space,0.7299113999999918,24.208467400000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,24.97777640000004,None,space,0.5765663999999902,24.97777640000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.60680910000002,None,1,[0.8446648999999979],[0.8446686999999997],25.60680910000002,None,0,,,-0.07314814814814814,0.10185185185185185,1,0,0,C,0.013316366666686008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.60680910000002,None,26.43177830000002,None,space,0.9785308000000441,26.43177830000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9112307999999985,29.779067200000043,None,29.779067200000043,None,29.779067200000043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7619899999999689,30.80033930000002,None,30.80033930000002,None,30.80033930000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07314814814814814,0.10185185185185185,1,0,0,0.5098521999999548,A,0.002801700000020446,None,31.62374840000001,None,1,[0.5097402999999758],[0.5097438000000238],31.62374840000001,None,0,,,31.62374840000001,None,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.48779100000001563,32.21849430000003,None,32.21849430000003,None,32.21849430000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,zxcv,001,True,2022_Jun_10_1041,EyeTrackingStudy,2021.2.1,None,
