trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.942848000000026,None,space,7.663607099999979,25.942848000000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
,,,,,,,,,,,,,,33.6361478,None,space,5.03421800000001,33.6361478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
,,,,,,,,,,,,,,,,,,,,38.68600329999998,None,space,10.52842290000001,38.68600329999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
,,,,,,,,,,,,,,,,,,,,,,,,,,49.2355943,None,space,4.498927100000003,49.2355943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,35.36625780000003,55.95210309999999,None,55.95210309999999,None,55.95210309999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,12.565832600000022,91.40053990000001,None,91.40053990000001,None,91.40053990000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06296296296296296,0.09814814814814815,1,0,0,2.9157943999999816,A,0.014767629999937526,None,104.01679990000002,None,1,[2.8991476999999577],[2.9156174999999394],104.01679990000002,None,0,,,104.01679990000002,None,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,53.238353200000006,107.00004569999999,None,107.00004569999999,None,107.00004569999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,8.098871400000007,160.33149519999995,None,160.33149519999995,None,160.33149519999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14351851851851852,-0.08888888888888889,1,0,0,3.3543131999999787,B,0.002516749999927015,None,168.53121839999994,None,1,[2.8991476999999577],[2.9156174999999394],168.53121839999994,None,1,[3.354131700000039],[3.3541351999999733],168.53121839999994,None,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
