trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.58923199999998,None,space,14.029860399999961,27.58923199999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
,,,,,,,,,,,,,,41.63857509999997,None,space,12.932499500000006,41.63857509999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
,,,,,,,,,,,,,,,,,,,,54.5880502,None,space,13.238962200000003,54.5880502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
,,,,,,,,,,,,,,,,,,,,,,,,,,67.85427609999999,None,space,5.40495930000003,67.85427609999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,74.3839941,75.57090469999997,None,75.57090469999997,None,75.57090469999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,59.80608649999999,150.08464700000002,None,150.08464700000002,None,150.08464700000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10462962962962963,0.12037037037037036,1,0,0,7.781028200000037,A,0.013644029999909435,None,209.94901879999998,None,1,[7.780727600000091],[7.78073130000007],209.94901879999998,None,0,,,209.94901879999998,None,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,101.14710620000005,217.81553699999995,None,217.81553699999995,None,217.81553699999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,74.61991509999996,319.078486,None,319.078486,None,319.078486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23796296296296296,-0.10740740740740741,1,0,0,10.608528999999976,B,0.009746849999942242,None,393.80918199999996,None,1,[7.780727600000091],[7.78073130000007],393.80918199999996,None,1,[10.608340300000009],[10.608343999999988],393.80918199999996,None,,,,,,,user1,001,True,2022_May_04_1122,EyeTrackingStudy,2021.2.1,60.01705684754303,
