1.3069 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
12.7874 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.7877 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023F3B7CD828>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023F3B7D6A90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.7880 	EXP 	window1: mouseVisible = True
12.7880 	EXP 	window1: recordFrameIntervals = False
12.9476 	EXP 	window1: recordFrameIntervals = True
13.0037 	WARNING 	t of last frame was 22.86ms (=1/43)
13.0370 	WARNING 	t of last frame was 22.92ms (=1/43)
13.0704 	WARNING 	t of last frame was 22.82ms (=1/43)
13.1704 	WARNING 	t of last frame was 22.96ms (=1/43)
13.2037 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
14.6152 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.1163 	EXP 	Created Introduction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='Introduction', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.1407 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.3881 	EXP 	Created image_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='snippets/Final/Demo.png', interpolate=True, mask=None, maskParams=None, name='image_3', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1920., 1080.]), texRes=128.0, units='pix', win=Window(...))
15.6277 	EXP 	Created image_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='snippets/Final/Demoresp.png', interpolate=True, mask=None, maskParams=None, name='image_4', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1920., 1080.]), texRes=128.0, units='pix', win=Window(...))
15.6616 	EXP 	window1: mouseVisible = True
15.6664 	EXP 	window1: mouseVisible = True
15.6664 	EXP 	window1: mouseVisible = True
15.6741 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1, ori=0.0, pos=array([-0.07,  0.33]), rgb=UNKNOWN, text='Choose your output', units='height', win=Window(...), wrapWidth=1)
15.6800 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='text_4', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.6831 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=False, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='pix', win=Window(...))
15.6973 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([ 0., -1.]), rgb=UNKNOWN, text='Press < spacebar > to continue ', units='height', win=Window(...), wrapWidth=1)
15.6973 	EXP 	window1: mouseVisible = True
15.6993 	EXP 	window1: mouseVisible = True
15.7011 	EXP 	window1: mouseVisible = True
15.7062 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([-0.07,  0.33]), rgb=UNKNOWN, text='Choose your Output', units='height', win=Window(...), wrapWidth=1)
15.7162 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.7487 	EXP 	Introduction: autoDraw = True
17.3165 	DATA 	Keypress: space
17.3470 	EXP 	Introduction: autoDraw = False
17.3470 	EXP 	instructions: autoDraw = True
18.2933 	DATA 	Keypress: space
18.3218 	EXP 	instructions: autoDraw = False
18.3218 	EXP 	image_3: autoDraw = True
20.0924 	DATA 	Keypress: space
20.1556 	EXP 	image_3: autoDraw = False
20.1556 	EXP 	image_4: autoDraw = True
21.1606 	DATA 	Keypress: space
21.1877 	EXP 	image_4: autoDraw = False
21.1877 	EXP 	text_5: autoDraw = True
22.7710 	DATA 	Mouse: Left button down, pos=(713,634)
22.7787 	EXP 	text_5: autoDraw = False
22.7787 	EXP 	text_4: autoDraw = True
22.9075 	DATA 	Mouse:  Left button up, pos=(713,634)
27.2587 	EXP 	Created sequence: sequential, trialTypes=1, nReps=16, seed=None
27.2592 	EXP 	New trial (rep=0, index=0): None
27.2598 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
27.2601 	EXP 	New trial (rep=0, index=0): None
27.3150 	DATA 	Keypress: space
27.3238 	EXP 	text_4: autoDraw = False
27.3238 	EXP 	image: size = array([1920., 1080.])
27.3238 	EXP 	image: image = './snippets/Final/ArraySum(WOC).png'
27.3238 	EXP 	image: autoDraw = True
27.3238 	EXP 	text_2: autoDraw = True
39.7952 	EXP 	New trial (rep=1, index=0): None
39.8559 	DATA 	Keypress: space
39.8652 	EXP 	image: autoDraw = False
39.8652 	EXP 	text_2: autoDraw = False
39.8652 	EXP 	image: size = array([1920., 1080.])
39.8652 	EXP 	image: image = './snippets/Final/ArraySumresp(WOC).png'
39.8652 	EXP 	image: autoDraw = True
39.8652 	EXP 	text_2: autoDraw = True
69.2557 	DATA 	Keypress: space
69.2657 	EXP 	image: autoDraw = False
69.2657 	EXP 	text_2: autoDraw = False
69.2657 	EXP 	text_3: autoDraw = True
70.0313 	DATA 	Mouse: Left button down, pos=(713,634)
70.0597 	EXP 	New trial (rep=1, index=0): None
70.0599 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
70.0601 	EXP 	New trial (rep=0, index=0): None
70.1231 	EXP 	text_3: autoDraw = False
70.1231 	EXP 	image: size = array([1920., 1080.])
70.1231 	EXP 	image: image = './snippets/Final/BubbleSort(CNL).png'
70.1231 	EXP 	image: autoDraw = True
70.1231 	EXP 	text_2: autoDraw = True
70.1948 	DATA 	Mouse:  Left button up, pos=(713,634)
102.0262 	EXP 	New trial (rep=1, index=0): None
102.0877 	DATA 	Keypress: space
102.0976 	EXP 	image: autoDraw = False
102.0976 	EXP 	text_2: autoDraw = False
102.0976 	EXP 	image: size = array([1920., 1080.])
102.0976 	EXP 	image: image = './snippets/Final/BubbleSortresp(CNL).png'
102.0976 	EXP 	image: autoDraw = True
102.0976 	EXP 	text_2: autoDraw = True
150.9039 	DATA 	Keypress: space
150.9145 	EXP 	image: autoDraw = False
150.9145 	EXP 	text_2: autoDraw = False
150.9145 	EXP 	text_3: autoDraw = True
152.3333 	DATA 	Mouse: Left button down, pos=(777,386)
152.3397 	EXP 	New trial (rep=2, index=0): None
152.3400 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
152.3401 	EXP 	New trial (rep=0, index=0): None
152.4224 	EXP 	text_3: autoDraw = False
152.4224 	EXP 	image: size = array([1920., 1080.])
152.4224 	EXP 	image: image = './snippets/Final/NumberCheck(WIC).png'
152.4224 	EXP 	image: autoDraw = True
152.4224 	EXP 	text_2: autoDraw = True
152.4595 	DATA 	Mouse:  Left button up, pos=(777,386)
172.1390 	EXP 	New trial (rep=1, index=0): None
172.2009 	DATA 	Keypress: space
172.2096 	EXP 	image: autoDraw = False
172.2096 	EXP 	text_2: autoDraw = False
172.2096 	EXP 	image: size = array([1920., 1080.])
172.2096 	EXP 	image: image = './snippets/Final/NumberCheckresp(WIC).png'
172.2096 	EXP 	image: autoDraw = True
172.2096 	EXP 	text_2: autoDraw = True
200.6436 	DATA 	Keypress: space
200.6535 	EXP 	image: autoDraw = False
200.6535 	EXP 	text_2: autoDraw = False
200.6535 	EXP 	text_3: autoDraw = True
201.7648 	DATA 	Mouse: Left button down, pos=(811,419)
201.7709 	EXP 	New trial (rep=3, index=0): None
201.7712 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
201.7713 	EXP 	New trial (rep=0, index=0): None
201.8459 	EXP 	text_3: autoDraw = False
201.8459 	EXP 	image: size = array([1920., 1080.])
201.8459 	EXP 	image: image = './snippets/Final/ContainsSubstring(WOC).png'
201.8459 	EXP 	image: autoDraw = True
201.8459 	EXP 	text_2: autoDraw = True
201.9146 	DATA 	Mouse:  Left button up, pos=(811,419)
229.6869 	DATA 	Keypress: space
229.7227 	EXP 	New trial (rep=1, index=0): None
229.7952 	EXP 	image: autoDraw = False
229.7952 	EXP 	text_2: autoDraw = False
229.7952 	EXP 	image: size = array([1920., 1080.])
229.7952 	EXP 	image: image = './snippets/Final/ContainsSubstringresp(WOC).png'
229.7952 	EXP 	image: autoDraw = True
229.7952 	EXP 	text_2: autoDraw = True
255.3638 	DATA 	Keypress: space
255.3740 	EXP 	image: autoDraw = False
255.3740 	EXP 	text_2: autoDraw = False
255.3740 	EXP 	text_3: autoDraw = True
256.4712 	DATA 	Mouse: Left button down, pos=(1361,415)
256.4776 	EXP 	New trial (rep=4, index=0): None
256.4779 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
256.4780 	EXP 	New trial (rep=0, index=0): None
256.5382 	EXP 	text_3: autoDraw = False
256.5382 	EXP 	image: size = array([1920., 1080.])
256.5382 	EXP 	image: image = './snippets/Final/Power(CNL).png'
256.5382 	EXP 	image: autoDraw = True
256.5382 	EXP 	text_2: autoDraw = True
256.5882 	DATA 	Mouse:  Left button up, pos=(1361,415)
273.4529 	EXP 	New trial (rep=1, index=0): None
273.5008 	DATA 	Keypress: space
273.5092 	EXP 	image: autoDraw = False
273.5092 	EXP 	text_2: autoDraw = False
273.5092 	EXP 	image: size = array([1920., 1080.])
273.5092 	EXP 	image: image = './snippets/Final/Powerresp(CNL).png'
273.5092 	EXP 	image: autoDraw = True
273.5092 	EXP 	text_2: autoDraw = True
279.4220 	DATA 	Keypress: space
279.4314 	EXP 	image: autoDraw = False
279.4314 	EXP 	text_2: autoDraw = False
279.4314 	EXP 	text_3: autoDraw = True
280.2951 	DATA 	Mouse: Left button down, pos=(1311,409)
280.3012 	EXP 	New trial (rep=5, index=0): None
280.3015 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
280.3016 	EXP 	New trial (rep=0, index=0): None
280.3658 	EXP 	text_3: autoDraw = False
280.3658 	EXP 	image: size = array([1920., 1080.])
280.3658 	EXP 	image: image = './snippets/Final/BinaryConversion(WIC).png'
280.3658 	EXP 	image: autoDraw = True
280.3658 	EXP 	text_2: autoDraw = True
280.4373 	DATA 	Mouse:  Left button up, pos=(1310,409)
291.7689 	EXP 	New trial (rep=1, index=0): None
291.8214 	DATA 	Keypress: space
291.8306 	EXP 	image: autoDraw = False
291.8306 	EXP 	text_2: autoDraw = False
291.8306 	EXP 	image: size = array([1920., 1080.])
291.8306 	EXP 	image: image = './snippets/Final/BinaryConversionresp(WIC).png'
291.8306 	EXP 	image: autoDraw = True
291.8306 	EXP 	text_2: autoDraw = True
297.1011 	DATA 	Keypress: space
297.1745 	EXP 	image: autoDraw = False
297.1745 	EXP 	text_2: autoDraw = False
297.1745 	EXP 	text_3: autoDraw = True
300.7666 	DATA 	Mouse: Left button down, pos=(1354,646)
300.7760 	EXP 	New trial (rep=6, index=0): None
300.7764 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
300.7766 	EXP 	New trial (rep=0, index=0): None
300.8424 	EXP 	text_3: autoDraw = False
300.8424 	EXP 	image: size = array([1920., 1080.])
300.8424 	EXP 	image: image = './snippets/Final/MultiplyMatrix(WOC).png'
300.8424 	EXP 	image: autoDraw = True
300.8424 	EXP 	text_2: autoDraw = True
300.9154 	DATA 	Mouse:  Left button up, pos=(1354,646)
319.3165 	EXP 	New trial (rep=1, index=0): None
319.3764 	DATA 	Keypress: space
319.3851 	EXP 	image: autoDraw = False
319.3851 	EXP 	text_2: autoDraw = False
319.3851 	EXP 	image: size = array([1920., 1080.])
319.3851 	EXP 	image: image = './snippets/Final/MultiplyMatrixresp(WOC).png'
319.3851 	EXP 	image: autoDraw = True
319.3851 	EXP 	text_2: autoDraw = True
337.2186 	DATA 	Keypress: space
337.2301 	EXP 	image: autoDraw = False
337.2301 	EXP 	text_2: autoDraw = False
337.2301 	EXP 	text_3: autoDraw = True
349.8756 	DATA 	Mouse: Left button down, pos=(1189,664)
349.8812 	EXP 	New trial (rep=7, index=0): None
349.8815 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
349.8816 	EXP 	New trial (rep=0, index=0): None
349.9449 	EXP 	text_3: autoDraw = False
349.9449 	EXP 	image: size = array([1920., 1080.])
349.9449 	EXP 	image: image = './snippets/Final/PrimeNumber(CNL).png'
349.9449 	EXP 	image: autoDraw = True
349.9449 	EXP 	text_2: autoDraw = True
349.9847 	DATA 	Mouse:  Left button up, pos=(1189,664)
381.5499 	EXP 	New trial (rep=1, index=0): None
381.6040 	DATA 	Keypress: space
381.6125 	EXP 	image: autoDraw = False
381.6125 	EXP 	text_2: autoDraw = False
381.6125 	EXP 	image: size = array([1920., 1080.])
381.6125 	EXP 	image: image = './snippets/Final/PrimeNumberresp(CNL).png'
381.6125 	EXP 	image: autoDraw = True
381.6125 	EXP 	text_2: autoDraw = True
392.0568 	DATA 	Keypress: space
392.0683 	EXP 	image: autoDraw = False
392.0683 	EXP 	text_2: autoDraw = False
392.0683 	EXP 	text_3: autoDraw = True
