trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.12144566599818,None,space,10.683647499001381,14.12144566599818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
,,,,,,,,,,,,,,24.8243690829986,None,space,9.877923166000983,24.8243690829986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
,,,,,,,,,,,,,,,,,,,,34.74176829099815,None,space,4.0324315409998235,34.74176829099815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
,,,,,,,,,,,,,,,,,,,,,,,,,,38.791710665998835,None,space,3.2415027910028584,38.791710665998835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.100905874998716,None,1,[3.6671556669971324],[3.6671597079985077],42.100905874998716,None,0,,,-0.17904761904761904,0.09142857142857143,1,0,0,C,0.015995475700037787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.100905874998716,None,45.72431679099827,None,space,1.8869602080012555,45.72431679099827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.816387916001986,47.71683166599905,None,47.71683166599905,None,47.71683166599905,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9713699569983874,50.635934707999695,None,50.635934707999695,None,50.635934707999695,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.09142857142857143,1,0,0,0.623287333000917,A,0.005318232801073464,None,51.68214108299799,None,1,[0.6220653330019559],[0.6220681250015332],51.68214108299799,None,0,,,51.68214108299799,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30484599900228204,52.3544523749988,None,52.3544523749988,None,52.3544523749988,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5718558749977092,52.76047254099831,None,52.76047254099831,None,52.76047254099831,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.09142857142857143,1,0,0,0.3832149580011901,A,0.015235542501613963,None,53.42089874999874,None,2,"[0.6220653330019559, 0.38206679100039764]","[0.6220681250015332, 0.38206979100141325]",53.42089874999874,None,0,,,53.42089874999874,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3898775409979862,53.85143966599935,None,53.85143966599935,None,53.85143966599935,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.32409699900017586,54.33112204099962,None,54.33112204099962,None,54.33112204099962,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.09142857142857143,1,0,0,0.3635341250010242,A,0.013009208501898684,None,54.739644207998936,None,3,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136]",54.739644207998936,None,0,,,54.739644207998936,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.29918166599964024,55.15511879100086,None,55.15511879100086,None,55.15511879100086,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
