trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.032830299984198,None,space,0.44657339999685064,10.032830299984198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,10.498855999991065,None,space,0.24438129999907687,10.498855999991065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,10.797790299984626,None,space,0.24945989999105223,10.797790299984626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,11.099412499985192,None,space,0.3238368000020273,11.099412499985192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46290549999685,None,1,[0.7453273000137415],[0.7453307000105269],11.46290549999685,None,0,,,-0.049074074074074076,0.08148148148148149,1,0,0,C,0.012573166633956134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46290549999685,None,12.201686499989592,None,space,0.2455873999861069,12.201686499989592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3819354999868665,12.521328499977244,None,12.521328499977244,None,12.521328499977244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5223565000051167,12.980910299986135,None,12.980910299986135,None,12.980910299986135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04722222222222222,0.08148148148148149,1,0,0,0.4781778000178747,A,0.0038509333098772913,None,13.554047699988587,None,1,[0.4779952999961097],[0.4779983999906108],13.554047699988587,None,0,,,13.554047699988587,None,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11509300000034273,14.108255500002997,None,14.108255500002997,None,14.108255500002997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,2022_May_19_1440,EyeTrackingStudy,2021.2.1,None,
