trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.961042900045868,None,space,0.847161799960304,13.961042900045868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,14.827760300016962,None,space,1.2123119999887422,14.827760300016962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,16.076074500044342,None,space,0.8920061999815516,16.076074500044342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,17.012936200015247,None,space,0.9631628000061028,17.012936200015247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00849850004306,None,1,[3.1113136999774724],[3.111317400005646],18.00849850004306,None,0,,,-0.12129629629629629,0.09814814814814815,1,0,0,C,0.012493866728618741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00849850004306,None,21.099859900015872,None,space,1.5241505000158213,21.099859900015872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.05912359996000305,24.74894200003473,None,24.74894200003473,None,24.74894200003473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.156874799984507,24.875164600030985,None,24.875164600030985,None,24.875164600030985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12129629629629629,0.09814814814814815,1,0,0,5.959238799987361,A,0.002081633370835334,None,38.08472620003158,None,1,[5.959045899973717],[5.95904960000189],38.08472620003158,None,0,,,38.08472620003158,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8149592999834567,44.113020099990536,None,44.113020099990536,None,44.113020099990536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
