1.2649 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
22.6019 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

22.6021 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000253FED01518>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000253FEAD8978>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.6025 	EXP 	window1: mouseVisible = True
22.6025 	EXP 	window1: recordFrameIntervals = False
22.7622 	EXP 	window1: recordFrameIntervals = True
22.8184 	WARNING 	t of last frame was 22.87ms (=1/43)
22.8851 	WARNING 	t of last frame was 22.79ms (=1/43)
22.9186 	WARNING 	t of last frame was 22.96ms (=1/43)
22.9518 	WARNING 	t of last frame was 22.95ms (=1/43)
22.9851 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
24.4289 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

24.8816 	EXP 	Created Introduction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='Introduction', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
24.9074 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
25.1760 	EXP 	Created image_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='snippets/Final/Demo.png', interpolate=True, mask=None, maskParams=None, name='image_3', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1920., 1080.]), texRes=128.0, units='pix', win=Window(...))
25.4087 	EXP 	Created image_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='snippets/Final/Demoresp.png', interpolate=True, mask=None, maskParams=None, name='image_4', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1920., 1080.]), texRes=128.0, units='pix', win=Window(...))
25.4424 	EXP 	window1: mouseVisible = True
25.4475 	EXP 	window1: mouseVisible = True
25.4475 	EXP 	window1: mouseVisible = True
25.4562 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1, ori=0.0, pos=array([-0.07,  0.33]), rgb=UNKNOWN, text='Choose your output', units='height', win=Window(...), wrapWidth=1)
25.4624 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='text_4', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
25.4659 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=False, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='pix', win=Window(...))
25.4808 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([ 0., -1.]), rgb=UNKNOWN, text='Press < spacebar > to continue ', units='height', win=Window(...), wrapWidth=1)
25.4808 	EXP 	window1: mouseVisible = True
25.4828 	EXP 	window1: mouseVisible = True
25.4846 	EXP 	window1: mouseVisible = True
25.4894 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([-0.07,  0.33]), rgb=UNKNOWN, text='Choose your Output', units='height', win=Window(...), wrapWidth=1)
25.5015 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
25.5658 	EXP 	Introduction: autoDraw = True
28.2090 	DATA 	Keypress: space
28.2208 	EXP 	Introduction: autoDraw = False
28.2208 	EXP 	instructions: autoDraw = True
37.5915 	DATA 	Keypress: space
37.6201 	EXP 	instructions: autoDraw = False
37.6201 	EXP 	image_3: autoDraw = True
44.0291 	DATA 	Keypress: space
44.0562 	EXP 	image_3: autoDraw = False
44.0562 	EXP 	image_4: autoDraw = True
48.4570 	DATA 	Keypress: space
48.4844 	EXP 	image_4: autoDraw = False
48.4844 	EXP 	text_5: autoDraw = True
50.7310 	DATA 	Mouse: Left button down, pos=(852,658)
50.7592 	EXP 	text_5: autoDraw = False
50.7592 	EXP 	text_4: autoDraw = True
50.8555 	DATA 	Mouse:  Left button up, pos=(852,658)
54.0884 	DATA 	Keypress: space
56.1159 	EXP 	Created sequence: sequential, trialTypes=1, nReps=16, seed=None
56.1171 	EXP 	New trial (rep=0, index=0): None
56.1184 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
56.1191 	EXP 	New trial (rep=0, index=0): None
56.2090 	EXP 	text_4: autoDraw = False
56.2090 	EXP 	image: size = array([1920., 1080.])
56.2090 	EXP 	image: image = './snippets/Final/ArraySum(CNL).png'
56.2090 	EXP 	image: autoDraw = True
56.2090 	EXP 	text_2: autoDraw = True
94.8078 	EXP 	New trial (rep=1, index=0): None
94.8623 	DATA 	Keypress: space
94.8708 	EXP 	image: autoDraw = False
94.8708 	EXP 	text_2: autoDraw = False
94.8708 	EXP 	image: size = array([1920., 1080.])
94.8708 	EXP 	image: image = './snippets/Final/ArraySumresp(CNL).png'
94.8708 	EXP 	image: autoDraw = True
94.8708 	EXP 	text_2: autoDraw = True
117.6647 	DATA 	Keypress: space
117.6744 	EXP 	image: autoDraw = False
117.6744 	EXP 	text_2: autoDraw = False
117.6744 	EXP 	text_3: autoDraw = True
121.5747 	DATA 	Mouse: Left button down, pos=(1338,613)
121.6043 	EXP 	New trial (rep=1, index=0): None
121.6046 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
121.6047 	EXP 	New trial (rep=0, index=0): None
121.6654 	EXP 	text_3: autoDraw = False
121.6654 	EXP 	image: size = array([1920., 1080.])
121.6654 	EXP 	image: image = './snippets/Final/BubbleSort(WIC).png'
