trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.748726500000032,None,space,1.5674058000000173,15.748726500000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,17.346993499999996,None,space,0.9291762999999946,17.346993499999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,18.32184799999999,None,space,1.7703265000000101,18.32184799999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,20.15558850000002,None,space,1.0005937000000245,20.15558850000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18773970000001,None,1,[1.6108648000000017],[1.6108682999999928],21.18773970000001,None,0,,,-0.22870370370370371,0.08703703703703704,1,0,0,C,0.012420666666685065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18773970000001,None,22.77867709999998,None,space,2.449371499999984,22.77867709999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.448303399999986,27.323768799999982,None,27.323768799999982,None,27.323768799999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,29.330964999999992,39.86517420000001,None,39.86517420000001,None,39.86517420000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22870370370370371,0.08703703703703704,1,0,0,0.7976454999999874,A,0.0015427333333377646,None,69.26569280000001,None,1,[0.7974566999999979],[0.7974601999999891],69.26569280000001,None,0,,,69.26569280000001,None,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,31.896896600000048,70.12312760000003,None,70.12312760000003,None,70.12312760000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user20,001,True,2022_Jun_08_1228,EyeTrackingStudy,2021.2.1,None,
