trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.414514200000667,None,space,12.961639000000105,20.414514200000667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,33.40600150000046,None,space,9.746143800000027,33.40600150000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,43.165071700000226,None,space,19.70705420000013,43.165071700000226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,62.9059643999999,None,space,4.302266100000452,62.9059643999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,30.13782480000009,69.3023591000001,None,69.3023591000001,None,69.3023591000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,42.13861030000044,99.53348180000012,None,99.53348180000012,None,99.53348180000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09166666666666666,0.08703703703703704,1,0,0,5.137878999999884,A,0.014875300000312563,None,141.74794139999995,None,1,[5.137826400000449],[5.137829899999815],141.74794139999995,None,0,,,141.74794139999995,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,47.38311059999978,146.9369925000001,None,146.9369925000001,None,146.9369925000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,30.434391900000264,194.3817226000001,None,194.3817226000001,None,194.3817226000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.09351851851851851,1,0,0,3.074898900000335,A,0.012395866666338407,None,224.9027427000001,None,2,"[5.137826400000449, 3.0744847000005393]","[5.137829899999815, 3.0744882000008147]",224.9027427000001,None,0,,,224.9027427000001,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
