trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.864455800000542,None,space,0.8918721999998525,19.864455800000542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,20.80025900000055,None,space,0.34806990000015503,20.80025900000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,21.17612740000004,None,space,0.30028020000008837,21.17612740000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,21.53369079999993,None,space,0.366635899999892,21.53369079999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5248661000005086,23.983467300000484,None,23.983467300000484,None,23.983467300000484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.37828630000058183,24.586028499999884,None,24.586028499999884,None,24.586028499999884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08148148148148149,0.08981481481481482,1,0,0,0.5792031999999381,A,0.000268333333224291,None,25.020732800000587,None,1,[0.5789454000005207],[0.5789489999997386],25.020732800000587,None,0,,,25.020732800000587,None,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2850300000000061,25.64734270000008,None,25.64734270000008,None,25.64734270000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.29690110000046843,26.003387000000657,None,26.003387000000657,None,26.003387000000657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08148148148148149,0.08981481481481482,1,0,0,0.31426489999921614,A,0.015435866666848597,None,26.365040900000167,None,2,"[0.5789454000005207, 0.314064000000144]","[0.5789489999997386, 0.3140673000007155]",26.365040900000167,None,0,,,26.365040900000167,None,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.29087089999939053,26.73749510000016,None,26.73749510000016,None,26.73749510000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.24584849999973812,27.1026509000003,None,27.1026509000003,None,27.1026509000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08148148148148149,0.08981481481481482,1,0,0,0.2837407999995776,A,0.0008919666661313386,None,27.427023199999894,None,3,"[0.5789454000005207, 0.314064000000144, 0.28354680000029475]","[0.5789489999997386, 0.3140673000007155, 0.2835500000001048]",27.427023199999894,None,0,,,27.427023199999894,None,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2752870000003895,27.761058800000683,None,27.761058800000683,None,27.761058800000683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21430359999976645,28.102206500000648,None,28.102206500000648,None,28.102206500000648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,trail10,001,True,2022_Apr_26_1507,EyeTrackingStudy,2021.2.1,None,
