3.8555 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
19.3105 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

19.3108 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000028F8EE81828>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000028F8EBD7C88>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.3111 	EXP 	window1: mouseVisible = True
19.3111 	EXP 	window1: recordFrameIntervals = False
19.4708 	EXP 	window1: recordFrameIntervals = True
19.5269 	WARNING 	t of last frame was 22.95ms (=1/43)
19.5603 	WARNING 	t of last frame was 22.91ms (=1/43)
19.5936 	WARNING 	t of last frame was 22.93ms (=1/43)
19.6269 	WARNING 	t of last frame was 22.93ms (=1/43)
19.6936 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
21.1455 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

22.0915 	EXP 	Created Introduction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='Introduction', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.1186 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.3620 	EXP 	Created image_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='snippets/Final/Demo.png', interpolate=True, mask=None, maskParams=None, name='image_3', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1920., 1080.]), texRes=128.0, units='pix', win=Window(...))
22.5963 	EXP 	Created image_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='snippets/Final/Demoresp.png', interpolate=True, mask=None, maskParams=None, name='image_4', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1920., 1080.]), texRes=128.0, units='pix', win=Window(...))
22.6355 	EXP 	window1: mouseVisible = True
22.6404 	EXP 	window1: mouseVisible = True
22.6405 	EXP 	window1: mouseVisible = True
22.6495 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1, ori=0.0, pos=array([-0.07,  0.33]), rgb=UNKNOWN, text='Choose your output', units='height', win=Window(...), wrapWidth=1)
22.6558 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='text_4', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.6594 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=False, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='pix', win=Window(...))
22.6747 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([ 0., -1.]), rgb=UNKNOWN, text='Press < spacebar > to continue ', units='height', win=Window(...), wrapWidth=1)
22.6748 	EXP 	window1: mouseVisible = True
22.6770 	EXP 	window1: mouseVisible = True
22.6791 	EXP 	window1: mouseVisible = True
22.6844 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([-0.07,  0.33]), rgb=UNKNOWN, text='Choose your Output', units='height', win=Window(...), wrapWidth=1)
22.6967 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.7578 	EXP 	Introduction: autoDraw = True
43.6490 	DATA 	Keypress: space
43.6527 	EXP 	Introduction: autoDraw = False
43.6527 	EXP 	instructions: autoDraw = True
65.2325 	DATA 	Keypress: space
65.2610 	EXP 	instructions: autoDraw = False
65.2610 	EXP 	image_3: autoDraw = True
79.7681 	DATA 	Keypress: space
79.7967 	EXP 	image_3: autoDraw = False
79.7967 	EXP 	image_4: autoDraw = True
86.9009 	DATA 	Keypress: space
86.9254 	EXP 	image_4: autoDraw = False
86.9254 	EXP 	text_5: autoDraw = True
95.7251 	DATA 	Keypress: space
101.0301 	DATA 	Keypress: space
116.2409 	DATA 	Mouse: Left button down, pos=(839,665)
116.2491 	EXP 	text_5: autoDraw = False
116.2491 	EXP 	text_4: autoDraw = True
116.3779 	DATA 	Mouse:  Left button up, pos=(839,665)
123.0992 	EXP 	Created sequence: sequential, trialTypes=1, nReps=16, seed=None
123.1002 	EXP 	New trial (rep=0, index=0): None
123.1015 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
123.1021 	EXP 	New trial (rep=0, index=0): None
123.1806 	DATA 	Keypress: space
123.1898 	EXP 	text_4: autoDraw = False
123.1898 	EXP 	image: size = array([1920., 1080.])
123.1898 	EXP 	image: image = './snippets/Final/ArraySum(CNL).png'
123.1898 	EXP 	image: autoDraw = True
123.1898 	EXP 	text_2: autoDraw = True
148.1674 	EXP 	New trial (rep=1, index=0): None
148.2143 	DATA 	Keypress: space
148.2239 	EXP 	image: autoDraw = False
148.2239 	EXP 	text_2: autoDraw = False
148.2239 	EXP 	image: size = array([1920., 1080.])
148.2239 	EXP 	image: image = './snippets/Final/ArraySumresp(CNL).png'
148.2239 	EXP 	image: autoDraw = True
148.2239 	EXP 	text_2: autoDraw = True
161.9875 	DATA 	Keypress: space
161.9981 	EXP 	image: autoDraw = False
161.9981 	EXP 	text_2: autoDraw = False
161.9981 	EXP 	text_3: autoDraw = True
169.9635 	DATA 	Mouse: Left button down, pos=(837,631)
169.9701 	EXP 	New trial (rep=1, index=0): None
169.9704 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
169.9705 	EXP 	New trial (rep=0, index=0): None
