trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.939521624997724,None,space,0.4820615829958115,9.939521624997724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
,,,,,,,,,,,,,,10.444548917002976,None,space,0.23386779199063312,10.444548917002976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
,,,,,,,,,,,,,,,,,,,,10.713766041997587,None,space,0.23673479199351277,10.713766041997587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
,,,,,,,,,,,,,,,,,,,,,,,,,,10.976520000011078,None,space,0.31496604200219736,10.976520000011078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5802738749916898,11.393225083011203,None,11.393225083011203,None,11.393225083011203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.536581375010428,12.06392779199814,None,12.06392779199814,None,12.06392779199814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24095238095238095,0.09142857142857143,1,0,0,0.5702722090063617,A,0.016654187507811002,None,12.691123750002589,None,1,[0.5690981660009129],[0.5691011660092045],12.691123750002589,None,0,,,12.691123750002589,None,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2439207089919364,13.29859099999885,None,13.29859099999885,None,13.29859099999885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.29426258300372865,13.610303458000999,None,13.610303458000999,None,13.610303458000999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24095238095238095,0.09142857142857143,1,0,0,0.35495525000442285,A,0.0051578326092567295,None,13.98280004200933,None,2,"[0.5690981660009129, 0.35387020799680613]","[0.5691011660092045, 0.3538730830041459]",13.98280004200933,None,0,,,13.98280004200933,None,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
