trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.083316207994358,None,space,0.27527916700637434,8.083316207994358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
,,,,,,,,,,,,,,8.391219625002122,None,space,0.15333420800743625,8.391219625002122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
,,,,,,,,,,,,,,,,,,,,8.57673375000013,None,space,0.14109962499060202,8.57673375000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
,,,,,,,,,,,,,,,,,,,,,,,,,,8.74214433299494,None,space,0.13960237499850336,8.74214433299494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4630902079952648,8.994482458001585,None,8.994482458001585,None,8.994482458001585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13193508399126586,9.519754041000851,None,9.519754041000851,None,9.519754041000851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24857142857142858,0.0838095238095238,1,0,0,0.49728345799667295,A,0.013422695701592602,None,9.707565124990651,None,1,[0.49622266698861495],[0.49622587498743087],9.707565124990651,None,0,,,9.707565124990651,None,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.19029604199749883,10.24434720800491,None,10.24434720800491,None,10.24434720800491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1078335829952266,10.501715624995995,None,10.501715624995995,None,10.501715624995995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24857142857142858,0.0838095238095238,1,0,0,0.34001566701044794,A,0.006380738690495491,None,10.679353415995138,None,2,"[0.49622266698861495, 0.3389808750071097]","[0.49622587498743087, 0.33898391701222863]",10.679353415995138,None,0,,,10.679353415995138,None,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20702679200621787,11.056579166004667,None,11.056579166004667,None,11.056579166004667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1003576249931939,11.333266415997059,None,11.333266415997059,None,11.333266415997059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24857142857142858,0.0838095238095238,1,0,0,0.22361216699937358,A,0.00607123359804973,None,11.512612999998964,None,3,"[0.49622266698861495, 0.3389808750071097, 0.2226172919909004]","[0.49622587498743087, 0.33898391701222863, 0.22262033299193718]",11.512612999998964,None,0,,,11.512612999998964,None,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18114045800757594,11.785479540994857,None,11.785479540994857,None,11.785479540994857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.09400454199931119,12.03465720800159,None,12.03465720800159,None,12.03465720800159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24857142857142858,0.0838095238095238,1,0,0,0.21304479200625792,A,0.012300608592340723,None,12.208271041003172,None,4,"[0.49622266698861495, 0.3389808750071097, 0.2226172919909004, 0.21203404100378975]","[0.49622587498743087, 0.33898391701222863, 0.22262033299193718, 0.2120370409975294]",12.208271041003172,None,0,,,12.208271041003172,None,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.19732712500263005,12.460324457992101,None,12.460324457992101,None,12.460324457992101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.09716783399926499,12.720504832992447,None,12.720504832992447,None,12.720504832992447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24857142857142858,0.0838095238095238,1,0,0,0.277348500007065,A,0.00978848668455612,None,12.876081708003767,None,5,"[0.49622266698861495, 0.3389808750071097, 0.2226172919909004, 0.21203404100378975, 0.27629995900497306]","[0.49622587498743087, 0.33898391701222863, 0.22262033299193718, 0.2120370409975294, 0.2763030000060098]",12.876081708003767,None,0,,,12.876081708003767,None,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2231320830032928,13.194602125004167,None,13.194602125004167,None,13.194602125004167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11659345800580923,13.493077833001735,None,13.493077833001735,None,13.493077833001735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxd,001,False,2022_Apr_25_2001,EyeTrackingStudy,2021.2.3,60.08029719247452,
