trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.910501540871337,None,space,1.775902833091095,9.910501540871337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
,,,,,,,,,,,,,,11.713210582965985,None,space,0.38420108309946954,11.713210582965985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
,,,,,,,,,,,,,,,,,,,,12.110621999949217,None,space,0.3595480830408633,12.110621999949217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.481131207896397,None,space,0.6724109170027077,12.481131207896397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,13.993965875124559,13.261529665905982,None,13.261529665905982,None,13.261529665905982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,4.59166070795618,27.341807749820873,None,27.341807749820873,None,27.341807749820873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17037037037037037,0.10092592592592593,1,0,0,1.1307436670176685,A,0.0014910211320966482,None,32.01338637480512,None,1,[1.129646624904126],[1.12965108291246],32.01338637480512,None,0,,,32.01338637480512,None,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,4.01004070811905,33.18540550000034,None,33.18540550000034,None,33.18540550000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,2.5667926671449095,37.27468833280727,None,37.27468833280727,None,37.27468833280727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17037037037037037,0.10092592592592593,1,0,0,0.4267869999166578,A,0.012638849671930075,None,39.928890249924734,None,2,"[1.129646624904126, 0.4255474579986185]","[1.12965108291246, 0.42555170808918774]",39.928890249924734,None,0,,,39.928890249924734,None,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5486575418617576,40.39492366602644,None,40.39492366602644,None,40.39492366602644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.781358125153929,42.02708924980834,None,42.02708924980834,None,42.02708924980834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17037037037037037,0.10092592592592593,1,0,0,0.3220870418008417,A,0.0018990116659551859,None,42.91369004081935,None,3,"[1.129646624904126, 0.4255474579986185, 0.3210590418893844]","[1.12965108291246, 0.42555170808918774, 0.32106233295053244]",42.91369004081935,None,0,,,42.91369004081935,None,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.779580167029053,43.27885641600005,None,43.27885641600005,None,43.27885641600005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6268451248761266,45.14755529095419,None,45.14755529095419,None,45.14755529095419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17037037037037037,0.10092592592592593,1,0,0,0.717136082937941,A,0.009547636844217777,None,45.86707108281553,None,4,"[1.129646624904126, 0.4255474579986185, 0.3210590418893844, 0.7160679169464856]","[1.12965108291246, 0.42555170808918774, 0.32106233295053244, 0.7160722089465708]",45.86707108281553,None,0,,,45.86707108281553,None,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8502189579885453,46.625275790924206,None,46.625275790924206,None,46.625275790924206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6020471658557653,47.580364333000034,None,47.580364333000034,None,47.580364333000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17037037037037037,0.10092592592592593,1,0,0,0.41637216601520777,A,0.0022393541876226664,None,48.26299220789224,None,5,"[1.129646624904126, 0.4255474579986185, 0.3210590418893844, 0.7160679169464856, 0.4151493750978261]","[1.12965108291246, 0.42555170808918774, 0.32106233295053244, 0.7160722089465708, 0.41515316697768867]",48.26299220789224,None,0,,,48.26299220789224,None,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1882249580230564,48.721139499917626,None,48.721139499917626,None,48.721139499917626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.48195804096758366,49.98846545792185,None,49.98846545792185,None,49.98846545792185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17037037037037037,0.10092592592592593,1,0,0,0.6961867078207433,A,0.0008432753384113312,None,50.54396941582672,None,6,"[1.129646624904126, 0.4255474579986185, 0.3210590418893844, 0.7160679169464856, 0.4151493750978261, 0.6961815841495991]","[1.12965108291246, 0.42555170808918774, 0.32106233295053244, 0.7160722089465708, 0.41515316697768867, 0.6961851669475436]",50.54396941582672,None,0,,,50.54396941582672,None,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8686197488568723,51.2807922498323,None,51.2807922498323,None,51.2807922498323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,3.8848528328817338,52.2295872499235,None,52.2295872499235,None,52.2295872499235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,cvcd,001,False,2022_Apr_18_1541,EyeTrackingStudy,2021.2.3,75.46960950458039,
